Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_383	1.02	0.085	0.258	0.029	0.961	0.816	383	0.05	12000	1000	1	500	111	1	0	1	45	46	1	1	0.134658544405258	32
Simulation_384	1.012	0.025	0.092	0.11	2.088	0.615	384	0.05	12000	1000	1	500	111	0	225	1	2432	2447	15	0	-1	-1
Simulation_385	2.018	0.07	0.217	0.037	0.833	0.162	385	0.05	12000	1000	1	500	111	1	0	1	992	992	0	1	0.141391471625521	438
Simulation_386	2.521	0.047	0.153	0.147	1.461	0.841	386	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_387	1.515	0.093	0.281	0.074	2.716	0.388	387	0.05	12000	1000	1	500	111	0	87	1	1164	1164	0	1	0.167361333760821	466
Simulation_388	1.766	0.036	0.122	0.092	1.147	0.501	388	0.05	12000	1000	1	500	111	1	0	1	711	714	3	1	0.995831997435075	678
Simulation_389	2.772	0.081	0.247	0.019	2.402	0.954	389	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.116062840654056	7
Simulation_390	2.269	0.013	0.058	0.128	1.775	0.275	390	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_391	1.263	0.059	0.186	0.056	0.52	0.728	391	0.05	12000	1000	1	500	111	1	0	1	26	26	0	1	0.663353638986855	25
Simulation_392	1.389	0.053	0.169	0.01	0.99	0.671	392	0.05	12000	1000	1	500	111	1	0	1	806	806	0	1	0.783584482205835	323
Simulation_393	2.395	0.098	0.294	0.083	2.245	0.218	393	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_394	2.898	0.03	0.106	0.047	2.873	0.897	394	0.05	12000	1000	1	500	111	1	0	1	22	22	0	1	0.020519397242706	-1
Simulation_395	1.892	0.076	0.233	0.119	1.618	0.445	395	0.05	12000	1000	1	500	111	0	23	1	1275	1279	4	1	0.94934273805707	579
Simulation_396	1.64	0.019	0.075	0.028	2.559	0.332	396	0.05	12000	1000	1	500	111	1	0	1	6	6	0	0	-1	-1
Simulation_397	2.646	0.064	0.2	0.101	1.304	0.784	397	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.087848669445335	5
Simulation_398	2.143	0.042	0.139	0.065	0.676	0.105	398	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_399	1.138	0.087	0.264	0.137	1.931	0.558	399	0.05	12000	1000	1	500	111	0	111	1	1237	1237	0	1	0.358127605001603	417
Simulation_400	1.2	0.039	0.131	0.124	2.794	0.813	400	0.05	12000	1000	1	500	111	0	68	1	1962	1971	9	1	0.886181468419365	1702
Simulation_401	2.206	0.084	0.256	0.051	1.539	0.36	401	0.05	12000	1000	1	500	111	0	12	1	1370	1370	0	1	0.14620070535428	604
Simulation_402	2.709	0.016	0.067	0.087	0.912	0.586	402	0.05	12000	1000	1	500	111	1	0	1	21	21	0	0	-1	-1
Simulation_403	1.703	0.061	0.192	0.015	2.167	0.134	403	0.05	12000	1000	1	500	111	1	0	1	349	349	0	1	0.194934273805707	111
Simulation_404	1.955	0.028	0.1	0.142	0.598	0.247	404	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_405	2.961	0.073	0.225	0.069	1.853	0.699	405	0.05	12000	1000	1	500	111	1	0	1	40	40	0	1	0.100032061558192	26
Simulation_406	2.458	0.05	0.161	0.106	2.48	0.473	406	0.05	12000	1000	1	500	111	1	0	1	21	21	0	1	0.176017954472587	15
Simulation_407	1.452	0.095	0.286	0.033	1.225	0.926	407	0.05	12000	1000	1	500	111	1	0	1	12	13	1	1	0.581276050016031	11
Simulation_408	1.326	0.011	0.053	0.06	1.696	0.982	408	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_409	2.332	0.056	0.178	0.133	2.951	0.53	409	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.253606925296569	11
Simulation_410	2.835	0.033	0.114	0.024	2.324	0.756	410	0.05	12000	1000	1	500	111	1	0	1	170	170	0	1	0.977877524847708	166
Simulation_411	1.829	0.078	0.239	0.097	1.069	0.303	411	0.05	12000	1000	1	500	111	0	7	1	1182	1182	0	1	0.236293683873036	556
Simulation_412	1.578	0.044	0.144	0.042	2.01	0.19	412	0.05	12000	1000	1	500	111	1	0	1	191	191	0	1	0.192048733568451	164
Simulation_413	2.583	0.09	0.272	0.115	0.755	0.643	413	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.425777492786149	2
Simulation_414	2.081	0.022	0.083	0.006	1.382	0.417	414	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_415	1.075	0.067	0.208	0.078	2.637	0.869	415	0.05	12000	1000	1	500	111	0	170	1	1420	1420	0	1	0.350432831035588	413
Simulation_416	1.106	0.049	0.158	0.031	0.716	0.289	416	0.05	12000	1000	1	500	111	0	157	1	2260	2263	3	1	0.922090413594101	414
Simulation_417	2.112	0.094	0.283	0.103	1.971	0.742	417	0.05	12000	1000	1	500	111	1	0	1	109	109	0	1	0.132414235331837	73
Simulation_418	2.615	0.026	0.094	0.067	2.598	0.516	418	0.05	12000	1000	1	500	111	1	0	1	16	16	0	0	-1	-1
Simulation_419	1.609	0.071	0.219	0.14	1.343	0.968	419	0.05	12000	1000	1	500	111	1	0	1	24	25	1	1	0.110291760179545	17
Simulation_420	1.861	0.015	0.064	0.012	2.912	0.855	420	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_421	2.866	0.06	0.189	0.085	1.657	0.402	421	0.05	12000	1000	1	500	111	1	0	1	47	47	0	1	0.06957358127605	24
Simulation_422	2.363	0.037	0.125	0.049	1.029	0.629	422	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.44693812119269	4
Simulation_423	1.358	0.083	0.253	0.122	2.284	0.176	423	0.05	12000	1000	1	500	111	0	119	1	1140	1140	0	1	0.149406861173453	395
Simulation_424	1.483	0.032	0.111	0.094	1.814	0.119	424	0.05	12000	1000	1	500	111	1	0	1	13	13	0	1	0.108368066688041	12
Simulation_425	2.489	0.077	0.236	0.021	0.559	0.572	425	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.499839692209041	2
Simulation_426	2.992	0.054	0.172	0.131	1.186	0.346	426	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_427	1.986	0.1	0.3	0.058	2.441	0.798	427	0.05	12000	1000	1	500	111	1	0	1	343	343	0	1	0.878166078871433	187
Simulation_428	1.735	0.043	0.142	0.112	1.5	0.912	428	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.574222507213851	8
Simulation_429	2.741	0.088	0.267	0.04	2.755	0.459	429	0.05	12000	1000	1	500	111	1	0	1	154	154	0	1	0.133696697659506	97
Simulation_430	2.238	0.02	0.078	0.149	2.127	0.685	430	0.05	12000	1000	1	500	111	1	0	1	20	22	2	1	0.022763706316127	7
Simulation_431	1.232	0.066	0.206	0.076	0.873	0.233	431	0.05	12000	1000	1	500	111	0	144	1	1414	1414	0	1	0.423533183712728	487
Simulation_432	1.169	0.018	0.072	0.044	1.422	0.487	432	0.05	12000	1000	1	500	111	0	95	1	2587	2677	90	1	0.167040718178904	682
Simulation_433	2.175	0.063	0.197	0.117	2.676	0.94	433	0.05	12000	1000	1	500	111	1	0	1	12	13	1	1	0.37031099711446	10
Simulation_434	2.678	0.04	0.133	0.008	2.049	0.261	434	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_435	1.672	0.086	0.261	0.081	0.794	0.714	435	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.428983648605322	2
Simulation_436	1.923	0.052	0.167	0.062	2.363	0.6	436	0.05	12000	1000	1	500	111	1	0	1	390	390	0	1	0.988778454632895	206
Simulation_437	2.929	0.097	0.292	0.135	1.108	0.148	437	0.05	12000	1000	1	500	111	1	0	1	38	38	0	1	0.14267393395319	25
Simulation_438	2.426	0.029	0.103	0.026	1.735	0.827	438	0.05	12000	1000	1	500	111	1	0	1	20	20	0	1	0.463289515870471	20
Simulation_439	1.42	0.074	0.228	0.099	2.99	0.374	439	0.05	12000	1000	1	500	111	0	102	1	1417	1417	0	1	0.209041359410067	366
Simulation_440	1.295	0.035	0.119	0.144	2.52	0.431	440	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_441	2.301	0.08	0.244	0.072	1.265	0.883	441	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_442	2.804	0.012	0.056	0.108	0.637	0.204	442	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_443	1.798	0.057	0.181	0.035	1.892	0.657	443	0.05	12000	1000	1	500	111	1	0	1	83	84	1	1	0.988457839050978	31
Simulation_444	1.546	0.023	0.086	0.126	0.951	0.77	444	0.05	12000	1000	1	500	111	1	0	1	8	10	2	1	0.250080153895479	8
Simulation_445	2.552	0.069	0.214	0.053	2.206	0.317	445	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.0910548252645079	6
Simulation_446	2.049	0.046	0.15	0.09	2.833	0.996	446	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.469060596344982	5
Simulation_447	1.043	0.091	0.275	0.017	1.578	0.544	447	0.05	12000	1000	1	500	111	0	152	1	1340	1343	3	1	0.167681949342738	417
Simulation_448	1.028	0.037	0.125	0.073	1.951	0.367	448	0.05	12000	1000	1	500	111	1	0	1	34	34	0	1	0.163193331195896	32
Simulation_449	2.033	0.082	0.25	0.145	0.696	0.82	449	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.391151009939083	2
Simulation_450	2.536	0.014	0.061	0.036	1.324	0.141	450	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_451	1.53	0.059	0.186	0.109	2.578	0.593	451	0.05	12000	1000	1	500	111	0	33	1	1507	1507	0	1	0.553382494389227	710
Simulation_452	1.782	0.025	0.092	0.054	1.637	0.706	452	0.05	12000	1000	1	500	111	1	0	1	1031	1047	16	1	0.110932991343379	541
Simulation_453	2.788	0.071	0.219	0.127	2.892	0.254	453	0.05	12000	1000	1	500	111	1	0	1	109	109	0	1	0.129528695094582	55
Simulation_454	2.285	0.048	0.156	0.018	2.265	0.933	454	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_455	1.279	0.093	0.281	0.091	1.01	0.48	455	0.05	12000	1000	1	500	111	0	37	1	1236	1236	0	1	0.747354921449182	591
Simulation_456	1.405	0.02	0.078	0.118	0.539	0.537	456	0.05	12000	1000	1	500	111	1	0	1	2	4	2	1	0.117024687399808	2
Simulation_457	2.411	0.065	0.203	0.045	1.794	0.989	457	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.56364219301058	9
Simulation_458	2.914	0.042	0.139	0.082	2.422	0.31	458	0.05	12000	1000	1	500	111	1	0	1	9	9	0	1	0.126322539275409	3
Simulation_459	1.908	0.088	0.267	0.009	1.167	0.763	459	0.05	12000	1000	1	500	111	1	0	1	21	21	0	1	0.139467778134017	16
Simulation_460	1.656	0.054	0.172	0.136	2.735	0.65	460	0.05	12000	1000	1	500	111	1	0	1	835	845	10	1	0.998717537672331	660
Simulation_461	2.662	0.099	0.297	0.064	1.48	0.197	461	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.133055466495672	6
Simulation_462	2.159	0.031	0.108	0.1	0.853	0.876	462	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_463	1.153	0.076	0.233	0.027	2.108	0.424	463	0.05	12000	1000	1	500	111	1	0	1	548	548	0	1	0.320615581917281	193
Simulation_464	1.216	0.028	0.1	0.023	2.657	0.169	464	0.05	12000	1000	1	500	111	1	0	1	19	19	0	0	-1	-1
Simulation_465	2.222	0.073	0.225	0.095	1.402	0.622	465	0.05	12000	1000	1	500	111	1	0	1	46	46	0	1	0.10259698621353	23
Simulation_466	2.725	0.051	0.164	0.059	0.775	0.395	466	0.05	12000	1000	1	500	111	1	0	1	34	34	0	1	0.444693812119269	18
Simulation_467	1.719	0.096	0.289	0.132	2.029	0.848	467	0.05	12000	1000	1	500	111	1	0	1	52	52	0	1	0.336966976595063	36
Simulation_468	1.971	0.04	0.133	0.041	1.088	0.961	468	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.37031099711446	7
Simulation_469	2.976	0.085	0.258	0.114	2.343	0.508	469	0.05	12000	1000	1	500	111	1	0	1	34	34	0	1	0.11670407181789	18
Simulation_470	2.473	0.017	0.069	0.077	2.971	0.735	470	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_471	1.468	0.062	0.194	0.15	1.716	0.282	471	0.05	12000	1000	1	500	111	1	0	1	102	102	0	1	0.190766271240782	63
Simulation_472	1.342	0.045	0.147	0.105	1.245	0.226	472	0.05	12000	1000	1	500	111	1	0	1	1375	1376	1	1	0.378647002244309	1297
Simulation_473	2.348	0.09	0.272	0.032	2.5	0.678	473	0.05	12000	1000	1	500	111	0	66	1	1136	1136	0	1	0.166078871433152	575
Simulation_474	2.851	0.023	0.086	0.141	1.873	0.452	474	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_475	1.845	0.068	0.211	0.068	0.618	0.905	475	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.380570695735813	4
Simulation_476	1.593	0.011	0.053	0.086	2.186	0.791	476	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_477	2.599	0.057	0.181	0.014	0.931	0.339	477	0.05	12000	1000	1	500	111	1	0	1	237	237	0	1	0.963770439243347	81
Simulation_478	2.096	0.034	0.117	0.123	1.559	0.565	478	0.05	12000	1000	1	500	111	1	0	1	253	253	0	1	0.444693812119269	210
Simulation_479	1.09	0.079	0.242	0.05	2.814	0.112	479	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_480	1.059	0.013	0.058	0.134	0.814	0.919	480	0.05	12000	1000	1	500	111	1	0	1	1	2	1	0	-1	-1
Simulation_481	2.065	0.058	0.183	0.061	2.069	0.466	481	0.05	12000	1000	1	500	111	1	0	1	687	687	0	1	0.590894517473549	372
Simulation_482	2.568	0.035	0.119	0.098	2.696	0.692	482	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.030779095864059	-1
Simulation_483	1.562	0.081	0.247	0.025	1.441	0.24	483	0.05	12000	1000	1	500	111	0	3	1	1421	1421	0	1	0.23116383456236	473
Simulation_484	1.813	0.047	0.153	0.116	2.382	0.127	484	0.05	12000	1000	1	500	111	1	0	1	56	56	0	1	0.176659185636422	44
Simulation_485	2.819	0.092	0.278	0.043	1.127	0.579	485	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.121833921128567	2
Simulation_486	2.316	0.024	0.089	0.079	0.5	0.353	486	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_487	1.31	0.069	0.214	0.007	1.755	0.806	487	0.05	12000	1000	1	500	111	0	57	1	1648	1651	3	1	0.830394357165758	448
Simulation_488	1.436	0.041	0.136	0.052	2.225	0.862	488	0.05	12000	1000	1	500	111	1	0	1	29	30	1	1	0.918884257774928	29
Simulation_489	2.442	0.086	0.261	0.125	0.971	0.409	489	0.05	12000	1000	1	500	111	1	0	1	138	139	1	1	0.463610131452389	86
Simulation_490	2.945	0.018	0.072	0.016	1.598	0.636	490	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.00545046489259378	2
Simulation_491	1.939	0.064	0.2	0.089	2.853	0.183	491	0.05	12000	1000	1	500	111	1	0	1	53	53	0	1	0.181789034947098	30
Simulation_492	1.688	0.03	0.106	0.07	1.284	0.296	492	0.05	12000	1000	1	500	111	1	0	1	162	162	0	1	0.143315165117025	30
Simulation_493	2.694	0.075	0.231	0.143	2.539	0.749	493	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.515870471304905	4
Simulation_494	2.191	0.052	0.167	0.034	1.912	0.523	494	0.05	12000	1000	1	500	111	1	0	1	181	181	0	1	0.983969220904136	89
Simulation_495	1.185	0.098	0.294	0.107	0.657	0.975	495	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_496	1.122	0.049	0.158	0.084	1.52	0.721	496	0.05	12000	1000	1	500	111	1	0	1	231	234	3	1	0.992305226033985	224
Simulation_497	2.128	0.095	0.286	0.011	2.775	0.268	497	0.05	12000	1000	1	500	111	0	39	1	1333	1333	0	1	0.16159025328631	561
Simulation_498	2.631	0.027	0.097	0.12	2.147	0.947	498	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.0987495992305226	5
Simulation_499	1.625	0.072	0.222	0.048	0.892	0.494	499	0.05	12000	1000	1	500	111	1	0	1	162	163	1	1	0.946777813401731	104
Simulation_500	1.876	0.015	0.064	0.102	1.833	0.381	500	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
