Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events
Simulation_151	1.456	0.06	0.189	0.074	2.054	0.164	151	12000	1000	1	500	111	0	4447	1	1189	1190	1
Simulation_152	1.33	0.054	0.172	0.028	2.211	0.107	152	12000	1000	1	500	111	0	4605	1	1178	1179	1
Simulation_153	2.336	0.099	0.297	0.101	0.956	0.56	153	12000	1000	1	500	111	0	4181	1	1261	1261	0
Simulation_154	2.839	0.031	0.108	0.064	1.583	0.333	154	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_155	1.833	0.076	0.233	0.137	2.838	0.786	155	12000	1000	1	500	111	0	4651	1	3539	3561	22
Simulation_156	1.582	0.02	0.078	0.01	1.27	0.899	156	12000	1000	1	500	111	0	4470	1	2045	2497	452
Simulation_157	2.587	0.065	0.203	0.083	2.525	0.447	157	12000	1000	1	500	111	0	4461	1	4137	4138	1
Simulation_158	2.084	0.043	0.142	0.046	1.897	0.673	158	12000	1000	1	500	111	0	4661	1	2788	2815	27
Simulation_159	1.079	0.088	0.267	0.119	0.642	0.22	159	12000	1000	1	500	111	0	4781	1	2989	2993	4
Simulation_160	1.11	0.016	0.067	0.062	2.407	0.828	160	12000	1000	1	500	111	0	4767	1	2964	3010	46
Simulation_161	2.116	0.061	0.192	0.135	1.152	0.376	161	12000	1000	1	500	111	0	4712	1	6555	6687	132
Simulation_162	2.619	0.038	0.128	0.026	0.525	0.602	162	12000	1000	1	500	111	1	0	1	312	312	0
Simulation_163	1.613	0.084	0.256	0.099	1.779	0.15	163	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_164	1.864	0.05	0.161	0.044	0.838	0.263	164	12000	1000	1	500	111	0	4683	1	4400	4892	492
Simulation_165	2.87	0.095	0.286	0.117	2.093	0.715	165	12000	1000	1	500	111	0	4552	1	2447	2447	0
Simulation_166	2.367	0.027	0.097	0.008	2.721	0.489	166	12000	1000	1	500	111	0	4437	1	1761	1765	4
Simulation_167	1.361	0.072	0.222	0.08	1.466	0.942	167	12000	1000	1	500	111	0	4309	1	1191	1191	0
Simulation_168	1.487	0.033	0.114	0.126	1.309	0.998	168	12000	1000	1	500	111	0	4136	1	3292	3365	73
Simulation_169	2.493	0.078	0.239	0.053	2.564	0.546	169	12000	1000	1	500	111	0	4714	1	2866	2909	43
Simulation_170	2.996	0.01	0.05	0.089	1.936	0.772	170	12000	1000	1	500	111	0	4561	1	1960	2147	187
Simulation_171	1.99	0.055	0.175	0.017	0.681	0.319	171	12000	1000	1	500	111	0	4128	1	1322	1665	343
Simulation_172	1.739	0.021	0.081	0.144	2.25	0.206	172	12000	1000	1	500	111	0	4620	1	2462	2472	10
Simulation_173	2.745	0.067	0.208	0.071	0.995	0.659	173	12000	1000	1	500	111	0	3476	1	1233	1234	1
Simulation_174	2.242	0.044	0.144	0.108	1.623	0.432	174	12000	1000	1	500	111	0	4698	1	5038	5296	258
Simulation_175	1.236	0.089	0.269	0.035	2.877	0.885	175	12000	1000	1	500	111	0	4636	1	2050	2068	18
Simulation_176	1.173	0.047	0.153	0.012	1.858	0.63	176	12000	1000	1	500	111	0	4494	1	1458	2490	1032
Simulation_177	2.179	0.092	0.278	0.085	0.603	0.178	177	12000	1000	1	500	111	0	4617	1	1918	1919	1
Simulation_178	2.682	0.024	0.089	0.048	1.23	0.857	178	12000	1000	1	500	111	0	4481	1	2557	2816	259
Simulation_179	1.676	0.069	0.214	0.121	2.485	0.404	179	12000	1000	1	500	111	0	2249	1	5187	5188	1
Simulation_180	1.927	0.013	0.058	0.03	1.544	0.517	180	12000	1000	1	500	111	0	4656	1	1771	1822	51
Simulation_181	2.933	0.058	0.183	0.103	2.799	0.97	181	12000	1000	1	500	111	0	4006	1	2429	2433	4
Simulation_182	2.43	0.035	0.119	0.067	2.172	0.291	182	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_183	1.424	0.081	0.247	0.139	0.917	0.744	183	12000	1000	1	500	111	0	3686	1	1863	1888	25
Simulation_184	1.299	0.03	0.106	0.112	0.76	0.687	184	12000	1000	1	500	111	0	4093	1	1356	1373	17
Simulation_185	2.305	0.075	0.231	0.039	2.015	0.234	185	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_186	2.807	0.052	0.167	0.149	2.642	0.913	186	12000	1000	1	500	111	0	4421	1	3051	3057	6
Simulation_187	1.802	0.098	0.294	0.076	1.387	0.461	187	12000	1000	1	500	111	0	4672	1	3782	3815	33
Simulation_188	1.55	0.041	0.136	0.094	2.956	0.348	188	12000	1000	1	500	111	0	4781	1	1547	1549	2
Simulation_189	2.556	0.086	0.261	0.021	1.701	0.8	189	12000	1000	1	500	111	0	4248	1	1464	1471	7
Simulation_190	2.053	0.018	0.072	0.13	1.074	0.121	190	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_191	1.047	0.064	0.2	0.058	2.328	0.574	191	12000	1000	1	500	111	0	4815	1	5602	5625	23
Simulation_192	1.031	0.028	0.1	0.041	1.132	0.737	192	12000	1000	1	500	111	0	4615	1	2852	2913	61
Simulation_193	2.037	0.073	0.225	0.113	2.387	0.284	193	12000	1000	1	500	111	0	2476	1	1334	1399	65
Simulation_194	2.54	0.05	0.161	0.077	1.76	0.963	194	12000	1000	1	500	111	0	3562	1	1882	1887	5
Simulation_195	1.534	0.096	0.289	0.15	0.505	0.51	195	12000	1000	1	500	111	0	3104	1	1051	1051	0
Simulation_196	1.786	0.039	0.131	0.022	2.074	0.397	196	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_197	2.792	0.084	0.256	0.095	0.819	0.85	197	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_198	2.289	0.016	0.067	0.059	1.446	0.171	198	12000	1000	1	500	111	0	4592	1	1979	1999	20
Simulation_199	1.283	0.062	0.194	0.132	2.701	0.623	199	12000	1000	1	500	111	0	4828	1	6851	6880	29
Simulation_200	1.409	0.045	0.147	0.086	2.544	0.567	200	12000	1000	1	500	111	0	4806	1	5660	5801	141
Simulation_201	2.415	0.09	0.272	0.013	1.289	0.114	201	12000	1000	1	500	111	0	4294	1	1397	1397	0
Simulation_202	2.917	0.022	0.083	0.122	0.662	0.793	202	12000	1000	1	500	111	1	0	1	13	13	0
Simulation_203	1.912	0.067	0.208	0.05	1.917	0.34	203	12000	1000	1	500	111	0	4479	1	2048	2048	0
Simulation_204	1.66	0.011	0.053	0.104	0.975	0.454	204	12000	1000	1	500	111	0	4759	1	1940	2050	110
Simulation_205	2.666	0.056	0.178	0.031	2.23	0.906	205	12000	1000	1	500	111	0	4564	1	1723	1723	0
Simulation_206	2.163	0.033	0.114	0.141	2.858	0.227	206	12000	1000	1	500	111	1	0	1	227	228	1
Simulation_207	1.157	0.079	0.242	0.068	1.603	0.68	207	12000	1000	1	500	111	0	4714	1	3197	3295	98
Simulation_208	1.22	0.036	0.122	0.054	0.583	0.935	208	12000	1000	1	500	111	0	53	1	1070	1070	0
Simulation_209	2.226	0.081	0.247	0.127	1.838	0.482	209	12000	1000	1	500	111	0	4678	1	4311	4353	42
Simulation_210	2.729	0.014	0.061	0.018	2.466	0.708	210	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_211	1.723	0.059	0.186	0.091	1.211	0.256	211	12000	1000	1	500	111	0	4655	1	3879	3895	16
Simulation_212	1.974	0.025	0.092	0.072	2.779	0.142	212	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_213	2.98	0.07	0.217	0.145	1.525	0.595	213	12000	1000	1	500	111	0	4579	1	3110	3113	3
Simulation_214	2.477	0.047	0.153	0.036	0.897	0.369	214	12000	1000	1	500	111	0	4607	1	2493	2518	25
Simulation_215	1.472	0.093	0.281	0.109	2.152	0.821	215	12000	1000	1	500	111	0	4655	1	2405	2414	9
Simulation_216	1.346	0.019	0.075	0.136	1.995	0.878	216	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_217	2.352	0.064	0.2	0.063	0.74	0.425	217	12000	1000	1	500	111	0	3963	1	1311	1314	3
Simulation_218	2.855	0.042	0.139	0.1	1.368	0.652	218	12000	1000	1	500	111	0	4607	1	3390	3400	10
Simulation_219	1.849	0.087	0.264	0.027	2.623	0.199	219	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_220	1.597	0.053	0.169	0.118	1.681	0.312	220	12000	1000	1	500	111	0	4635	1	6349	6354	5
Simulation_221	2.603	0.098	0.294	0.045	2.936	0.765	221	12000	1000	1	500	111	0	4571	1	2124	2135	11
Simulation_222	2.1	0.031	0.108	0.081	2.309	0.539	222	12000	1000	1	500	111	0	4738	1	3911	3957	46
Simulation_223	1.094	0.076	0.233	0.009	1.054	0.991	223	12000	1000	1	500	111	0	4490	1	1733	1739	6
Simulation_224	1.063	0.052	0.167	0.102	2.897	0.157	224	12000	1000	1	500	111	0	1732	1	1018	1023	5
Simulation_225	2.069	0.097	0.292	0.029	1.642	0.609	225	12000	1000	1	500	111	0	4659	1	1818	1887	69
Simulation_226	2.572	0.029	0.103	0.138	1.015	0.383	226	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_227	1.566	0.074	0.228	0.066	2.27	0.836	227	12000	1000	1	500	111	0	4626	1	2518	2531	13
Simulation_228	1.817	0.018	0.072	0.084	0.701	0.949	228	12000	1000	1	500	111	0	3854	1	1191	1193	2
Simulation_229	2.823	0.063	0.197	0.011	1.956	0.496	229	12000	1000	1	500	111	0	4488	1	2835	3282	447
