Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_203	1.912	0.386	0.217	0.05	1.917	0.34	203	0.05	12000	1000	1	500	111	1	0	1	624	624	0	1	0.914819136522754	1568	38	4434.3719868197
Simulation_204	1.66	0.015	0.123	0.104	0.975	0.454	204	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4343.26353493817
Simulation_205	2.666	0.311	0.249	0.031	2.23	0.906	205	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7054.59587745652
Simulation_206	2.163	0.163	0.186	0.141	2.858	0.227	206	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5250.75014688454
Simulation_207	1.157	0.46	0.06	0.068	1.603	0.68	207	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1	-1	7939.2459279877
Simulation_208	1.22	0.182	0.147	0.054	0.583	0.935	208	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5869.05437363622
Simulation_209	2.226	0.478	0.272	0.127	1.838	0.482	209	0.05	12000	1000	1	500	111	1	0	1	75	75	0	1	1	1714	11	2988.46473249144
Simulation_210	2.729	0.033	0.209	0.018	2.466	0.708	210	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6023.75880153431
Simulation_211	1.723	0.33	0.084	0.091	1.211	0.256	211	0.05	12000	1000	1	500	111	1	0	1	680	680	0	1	1	1714	278	4635.76974963319
Simulation_212	1.974	0.107	0.241	0.072	2.779	0.142	212	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	8833.06446363054
Simulation_213	2.98	0.404	0.115	0.145	1.525	0.595	213	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	3502.68028159587
Simulation_214	2.477	0.256	0.052	0.036	0.897	0.369	214	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6930.89132331863
Simulation_215	1.472	0.552	0.178	0.109	2.152	0.821	215	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6653.27556456122
Simulation_216	1.346	0.07	0.1	0.136	1.995	0.878	216	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7812.77787300933
Simulation_217	2.352	0.367	0.225	0.063	0.74	0.425	217	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.7975495915986	1367	1	7020.95610718911
Simulation_218	2.855	0.219	0.288	0.1	1.368	0.652	218	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6949.52317639359
Simulation_219	1.849	0.515	0.162	0.027	2.623	0.199	219	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7068.51175274297
Simulation_220	1.597	0.293	0.194	0.118	1.681	0.312	220	0.05	12000	1000	1	500	111	1	0	1	1171	1171	0	1	0.935239206534422	1603	148	3219.86887176874
Simulation_221	2.603	0.59	0.068	0.045	2.936	0.765	221	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7718.86333670905
Simulation_222	2.1	0.144	0.131	0.081	2.309	0.539	222	0.05	12000	1000	1	500	111	1	0	1	764	775	11	1	0.919486581096849	1576	333	3062.8825878134
Simulation_223	1.094	0.441	0.256	0.009	1.054	0.991	223	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7211.08239574778
Simulation_224	1.063	0.284	0.088	0.102	2.897	0.157	224	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7180.83230678593
Simulation_225	2.069	0.58	0.213	0.029	1.642	0.609	225	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	3647.80256600951
Simulation_226	2.572	0.135	0.276	0.138	1.015	0.383	226	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	4979.17858036631
Simulation_227	1.566	0.432	0.15	0.066	2.27	0.836	227	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.969078179696616	1661	1	6567.28281852087
