Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_95	1.102	0.094	0.075	0.145	1.26	0.627	95	0.05	12000	1000	1	500	111	1	0	1	49	57	8	1	0.389148191365228	38	2683.12229750809	3
Simulation_96	1.071	0.022	0.283	0.056	1.77	0.528	96	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7855.4925519776	5
Simulation_97	2.077	0.067	0.157	0.129	0.515	0.981	97	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7622.21585458465	5
Simulation_98	2.58	0.044	0.095	0.02	1.142	0.302	98	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7810.59948901069	5
Simulation_99	1.574	0.09	0.22	0.092	2.397	0.754	99	0.05	12000	1000	1	500	111	1	0	1	34	43	9	1	0.307467911318553	21	3830.93110583904	3
Simulation_100	1.825	0.033	0.126	0.074	1.456	0.641	100	0.05	12000	1000	1	500	111	0	15	1	3167	3172	5	1	0.535005834305718	2238	1815.54149338379	1
Simulation_101	2.831	0.078	0.251	0.147	2.711	0.188	101	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4756.0464663043	4
Simulation_102	2.328	0.01	0.189	0.038	2.083	0.867	102	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6974.69062612674	4
Simulation_103	1.322	0.056	0.063	0.11	0.828	0.415	103	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7928.55496732192	5
Simulation_104	1.448	0.05	0.236	0.138	0.672	0.358	104	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6503.96016081309	4
Simulation_105	2.454	0.095	0.11	0.065	1.926	0.811	105	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6503.04896795003	4
Simulation_106	2.957	0.027	0.173	0.101	2.554	0.132	106	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6228.71626454543	3
Simulation_107	1.951	0.073	0.299	0.029	1.299	0.584	107	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7653.93871589667	5
Simulation_108	1.699	0.016	0.079	0.12	2.868	0.698	108	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5528.48319084843	3
