Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_107	1.951	0.073	0.299	0.029	1.299	0.584	107	0.05	12000	1000	1	500	111	1	0	1	404	447	43	0	-1	-1	-1	6530.78490830014
Simulation_108	1.699	0.016	0.079	0.12	2.868	0.698	108	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5078.82103083829
Simulation_109	2.705	0.061	0.204	0.047	1.613	0.245	109	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5328.6602599594
Simulation_110	2.202	0.039	0.267	0.083	0.985	0.924	110	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.547237076648841	921	1	4411.12752730248
Simulation_111	1.196	0.084	0.142	0.01	2.24	0.471	111	0.05	12000	1000	1	500	111	0	194	1	3338	3364	26	0	-1	-1	-1	7817.9835495871
Simulation_112	1.134	0.041	0.102	0.033	2.475	0.217	112	0.05	12000	1000	1	500	111	1	0	1	5	6	1	0	-1	-1	-1	9316.66054982878
Simulation_113	2.139	0.087	0.228	0.106	1.221	0.669	113	0.05	12000	1000	1	500	111	1	0	1	234	242	8	1	0.792038027332145	1333	12	4037.04554294479
Simulation_114	2.642	0.019	0.291	0.07	0.593	0.443	114	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6882.02677845771
Simulation_115	1.637	0.064	0.165	0.142	1.848	0.896	115	0.05	12000	1000	1	500	111	1	0	1	71	74	3	1	0.684491978609626	1152	11	4963.07378153459
Simulation_116	1.888	0.03	0.197	0.015	0.907	0.783	116	0.05	12000	1000	1	500	111	1	0	1	11	16	5	1	0.525846702317291	885	2	4001.14515214512
Simulation_117	2.894	0.075	0.071	0.088	2.162	0.33	117	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5054.67600958066
Simulation_118	2.391	0.053	0.134	0.051	2.789	0.556	118	0.05	12000	1000	1	500	111	1	0	1	2371	2594	223	0	-1	-1	-1	5718.68989850707
Simulation_119	1.385	0.098	0.259	0.124	1.534	0.104	119	0.05	12000	1000	1	500	111	1	0	1	0	2	2	0	-1	-1	-1	4957.80747095831
Simulation_120	1.259	0.013	0.15	0.079	1.377	0.16	120	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4799.43729887394
Simulation_121	2.265	0.058	0.275	0.006	2.632	0.613	121	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5196.29111503792
Simulation_122	2.768	0.036	0.212	0.115	2.005	0.386	122	0.05	12000	1000	1	500	111	1	0	1	37	49	12	0	-1	-1	-1	8611.30916755629
Simulation_123	1.762	0.081	0.087	0.042	0.75	0.839	123	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.0481283422459893	81	1	6467.78139062638
Simulation_124	1.511	0.047	0.244	0.097	2.319	0.952	124	0.05	12000	1000	1	500	111	1	0	1	102	120	18	0	-1	-1	-1	3375.3775017938
Simulation_125	2.517	0.092	0.118	0.024	1.064	0.5	125	0.05	12000	1000	1	500	111	1	0	1	104	117	13	1	0.780154486036839	1313	9	4526.85973391827
Simulation_126	2.014	0.024	0.055	0.133	1.691	0.726	126	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6566.18692050208
Simulation_127	1.008	0.07	0.181	0.06	2.946	0.273	127	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6137.22254385957
Simulation_128	1.016	0.04	0.247	0.142	1.662	0.475	128	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6265.9543473074
Simulation_129	2.022	0.085	0.121	0.069	2.917	0.928	129	0.05	12000	1000	1	500	111	1	0	1	156	178	22	1	0.727866904337493	1225	6	6560.40351657344
Simulation_130	2.525	0.017	0.058	0.105	2.289	0.249	130	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4195.53610488005
Simulation_131	1.519	0.062	0.184	0.033	1.034	0.701	131	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6022.43775815651
Simulation_132	1.77	0.028	0.152	0.124	1.975	0.588	132	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5347.2970260053
Simulation_133	2.776	0.074	0.278	0.051	0.721	0.135	133	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	Inf
Simulation_134	2.273	0.051	0.215	0.087	1.348	0.814	134	0.05	12000	1000	1	500	111	1	0	1	73	78	5	1	0.657754010695187	1107	13	4040.38667112464
Simulation_135	1.267	0.096	0.09	0.014	2.603	0.362	135	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5568.97779812909
Simulation_136	1.393	0.011	0.2	0.042	2.76	0.418	136	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6674.30882743396
Simulation_137	2.399	0.057	0.074	0.114	1.505	0.871	137	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6571.02682034611
Simulation_138	2.902	0.034	0.137	0.005	0.877	0.192	138	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6845.48634103978
Simulation_139	1.896	0.079	0.262	0.078	2.132	0.645	139	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7051.76367377742
Simulation_140	1.644	0.045	0.105	0.06	0.564	0.758	140	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6364.4815096436
Simulation_141	2.65	0.091	0.231	0.133	1.819	0.305	141	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7312.35011144976
Simulation_142	2.147	0.023	0.294	0.023	2.446	0.984	142	0.05	12000	1000	1	500	111	1	0	1	159	193	34	1	0.591206179441474	995	73	1041.81935317094
Simulation_143	1.141	0.068	0.168	0.096	1.191	0.531	143	0.05	12000	1000	1	500	111	0	129	1	3186	3498	312	1	0.759088108441158	1232	79	6275.79405199464
Simulation_144	1.204	0.026	0.066	0.092	1.113	0.277	144	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6716.43052688708
Simulation_145	2.21	0.071	0.192	0.019	2.368	0.729	145	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5934.4434160986
Simulation_146	2.713	0.048	0.254	0.128	2.995	0.503	146	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4858.11163102021
Simulation_147	1.707	0.093	0.129	0.055	1.74	0.956	147	0.05	12000	1000	1	500	111	1	0	1	10	10	0	0	-1	-1	-1	8108.65346410519
Simulation_148	1.959	0.037	0.223	0.11	2.681	0.843	148	0.05	12000	1000	1	500	111	1	0	1	1843	2146	303	1	0.631016042780749	1062	152	3096.34618509056
Simulation_149	2.965	0.082	0.098	0.037	1.426	0.39	149	0.05	12000	1000	1	500	111	1	0	1	463	579	116	1	0.0011883541295306	2	2	8333.25806778946
Simulation_150	2.462	0.014	0.16	0.146	0.799	0.616	150	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4785.37778707022
Simulation_151	1.456	0.06	0.286	0.074	2.054	0.164	151	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4968.51683237829
Simulation_152	1.33	0.054	0.113	0.028	2.211	0.107	152	0.05	12000	1000	1	500	111	1	0	1	190	192	2	1	0.0011883541295306	2	81	3422.05489575284
Simulation_153	2.336	0.099	0.239	0.101	0.956	0.56	153	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6043.28270345702
Simulation_154	2.839	0.031	0.176	0.064	1.583	0.333	154	0.05	12000	1000	1	500	111	1	0	1	6	13	7	0	-1	-1	-1	5496.40365302122
Simulation_155	1.833	0.076	0.05	0.137	2.838	0.786	155	0.05	12000	1000	1	500	111	0	5	1	3291	3648	357	1	0.745169082125604	1234	33	6060.97968475249
Simulation_156	1.582	0.02	0.27	0.01	1.27	0.899	156	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5622.92722325577
Simulation_157	2.587	0.065	0.145	0.083	2.525	0.447	157	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	Inf
Simulation_158	2.084	0.043	0.082	0.046	1.897	0.673	158	0.05	12000	1000	1	500	111	1	0	1	529	654	125	1	0.587046939988116	988	6	5211.25918995368
Simulation_159	1.079	0.088	0.207	0.119	0.642	0.22	159	0.05	12000	1000	1	500	111	0	117	1	3294	3715	421	1	0.868923076923077	1412	242	2830.82197414334
Simulation_160	1.11	0.016	0.133	0.062	2.407	0.828	160	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5651.8708013858
Simulation_161	2.116	0.061	0.258	0.135	1.152	0.376	161	0.05	12000	1000	1	500	111	1	0	1	2064	2295	231	1	0.670825906120024	1129	51	2986.89553031428
Simulation_162	2.619	0.038	0.196	0.026	0.525	0.602	162	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1	-1	6345.30608834965
Simulation_163	1.613	0.084	0.07	0.099	1.779	0.15	163	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5934.01388931765
Simulation_164	1.864	0.05	0.29	0.044	0.838	0.263	164	0.05	12000	1000	1	500	111	1	0	1	857	1097	240	0	-1	-1	-1	4892.02792155094
