Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_78	2.171	0.017	0.114	0.022	1.809	0.372	78	0.05	12000	1000	1	500	111	1	0	1	51	63	12	0	-1	-1	-1	5864.26299567163
Simulation_79	1.165	0.063	0.24	0.095	0.554	0.825	79	0.05	12000	1000	1	500	111	1	0	1	16	16	0	1	0.466383812010444	1429	16	5529.61477688566
Simulation_80	1.228	0.02	0.216	0.099	1.73	0.57	80	0.05	12000	1000	1	500	111	1	0	1	61	94	33	0	-1	-1	-1	5001.50981556817
Simulation_81	2.234	0.066	0.091	0.026	2.985	0.118	81	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5758.0306896353
Simulation_82	2.737	0.043	0.153	0.136	2.358	0.797	82	0.05	12000	1000	1	500	111	1	0	1	79	84	5	1	0.16710182767624	512	25	6081.54188401147
Simulation_83	1.731	0.088	0.279	0.063	1.103	0.344	83	0.05	12000	1000	1	500	111	1	0	1	163	164	1	1	0.535574412532637	1641	93	3740.18056941882
Simulation_84	1.982	0.054	0.059	0.081	2.044	0.457	84	0.05	12000	1000	1	500	111	1	0	1	4	4	0	0	-1	-1	-1	5340.64595658504
Simulation_85	2.988	0.099	0.185	0.008	0.789	0.91	85	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.504895561357702	1547	10	3486.99708711741
Simulation_86	2.485	0.032	0.248	0.117	1.417	0.231	86	0.05	12000	1000	1	500	111	1	0	1	11	11	0	0	-1	-1	-1	5483.60514986607
Simulation_87	1.479	0.077	0.122	0.045	2.672	0.683	87	0.05	12000	1000	1	500	111	0	228	1	1474	1480	6	0	-1	-1	-1	3976.51484817058
Simulation_88	1.354	0.037	0.295	0.017	2.828	0.74	88	0.05	12000	1000	1	500	111	0	150	1	1187	1188	1	1	0.00825593395252838	24	5	5066.53258586703
