Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_45	2.719	0.096	0.289	0.08	1.163	0.958	45	0.05	12000	1000	1	500	111
Simulation_46	2.219	0.028	0.1	0.043	0.537	0.282	46	0.05	12000	1000	1	500	111
Simulation_47	1.217	0.073	0.225	0.116	1.789	0.733	47	0.05	12000	1000	1	500	111
Simulation_48	1.155	0.031	0.108	0.148	2.963	0.986	48	0.05	12000	1000	1	500	111
Simulation_49	2.156	0.076	0.233	0.075	1.711	0.536	49	0.05	12000	1000	1	500	111
Simulation_50	2.657	0.054	0.172	0.112	1.085	0.761	50	0.05	12000	1000	1	500	111
Simulation_51	1.655	0.099	0.297	0.039	2.337	0.31	51	0.05	12000	1000	1	500	111
Simulation_52	1.906	0.042	0.139	0.13	0.772	0.198	52	0.05	12000	1000	1	500	111
Simulation_53	2.907	0.087	0.264	0.057	2.024	0.648	53	0.05	12000	1000	1	500	111
Simulation_54	2.406	0.02	0.078	0.093	2.65	0.423	54	0.05	12000	1000	1	500	111
Simulation_55	1.405	0.065	0.203	0.021	1.398	0.874	55	0.05	12000	1000	1	500	111
Simulation_56	1.28	0.048	0.156	0.048	1.554	0.817	56	0.05	12000	1000	1	500	111
Simulation_57	2.281	0.093	0.281	0.121	2.807	0.367	57	0.05	12000	1000	1	500	111
Simulation_58	2.782	0.025	0.092	0.012	2.181	0.592	58	0.05	12000	1000	1	500	111
Simulation_59	1.78	0.07	0.217	0.084	0.928	0.141	59	0.05	12000	1000	1	500	111
Simulation_60	1.53	0.014	0.061	0.066	1.867	0.254	60	0.05	12000	1000	1	500	111
Simulation_61	2.532	0.059	0.186	0.139	0.615	0.705	61	0.05	12000	1000	1	500	111
Simulation_62	2.031	0.037	0.125	0.03	1.241	0.479	62	0.05	12000	1000	1	500	111
Simulation_63	1.029	0.082	0.25	0.102	2.494	0.93	63	0.05	12000	1000	1	500	111
Simulation_64	1.045	0.046	0.15	0.122	1.026	0.881	64	0.05	12000	1000	1	500	111
Simulation_65	2.046	0.091	0.275	0.049	2.278	0.43	65	0.05	12000	1000	1	500	111
Simulation_66	2.547	0.023	0.086	0.085	2.905	0.655	66	0.05	12000	1000	1	500	111
Simulation_67	1.546	0.068	0.211	0.013	1.652	0.205	67	0.05	12000	1000	1	500	111
Simulation_68	1.796	0.012	0.056	0.14	2.591	0.317	68	0.05	12000	1000	1	500	111
Simulation_69	2.798	0.057	0.181	0.067	1.339	0.768	69	0.05	12000	1000	1	500	111
Simulation_70	2.297	0.035	0.119	0.104	0.713	0.543	70	0.05	12000	1000	1	500	111
Simulation_71	1.295	0.08	0.244	0.031	1.965	0.993	71	0.05	12000	1000	1	500	111
Simulation_72	1.421	0.029	0.103	0.076	2.122	0.937	72	0.05	12000	1000	1	500	111
Simulation_73	2.422	0.074	0.228	0.149	0.869	0.486	73	0.05	12000	1000	1	500	111
Simulation_74	2.923	0.051	0.164	0.04	1.496	0.712	74	0.05	12000	1000	1	500	111
Simulation_75	1.921	0.097	0.292	0.113	2.748	0.261	75	0.05	12000	1000	1	500	111
Simulation_76	1.671	0.04	0.133	0.058	1.182	0.148	76	0.05	12000	1000	1	500	111
Simulation_77	2.672	0.085	0.258	0.131	2.435	0.599	77	0.05	12000	1000	1	500	111
Simulation_78	2.172	0.018	0.072	0.022	1.809	0.374	78	0.05	12000	1000	1	500	111
Simulation_79	1.17	0.063	0.197	0.095	0.556	0.824	79	0.05	12000	1000	1	500	111
Simulation_80	1.233	0.02	0.078	0.099	1.73	0.571	80	0.05	12000	1000	1	500	111
Simulation_81	2.234	0.066	0.206	0.026	2.983	0.12	81	0.05	12000	1000	1	500	111
Simulation_82	2.735	0.043	0.142	0.135	2.357	0.796	82	0.05	12000	1000	1	500	111
Simulation_83	1.733	0.088	0.267	0.063	1.104	0.346	83	0.05	12000	1000	1	500	111
Simulation_84	1.984	0.054	0.172	0.081	2.044	0.458	84	0.05	12000	1000	1	500	111
