Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged
Simulation_216	1.346	0.019	0.075	0.136	1.995	0.878	216	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_217	2.352	0.064	0.2	0.063	0.74	0.425	217	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_218	2.855	0.042	0.139	0.1	1.368	0.652	218	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_219	1.849	0.087	0.264	0.027	2.623	0.199	219	0.05	12000	1000	1	500	111	1	0	1	19	23	4	1
Simulation_220	1.597	0.053	0.169	0.118	1.681	0.312	220	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_221	2.603	0.098	0.294	0.045	2.936	0.765	221	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_222	2.1	0.031	0.108	0.081	2.309	0.539	222	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_223	1.094	0.076	0.233	0.009	1.054	0.991	223	0.05	12000	1000	1	500	111	1	0	1	20	31	11	1
Simulation_224	1.063	0.052	0.167	0.102	2.897	0.157	224	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_225	2.069	0.097	0.292	0.029	1.642	0.609	225	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1
Simulation_226	2.572	0.029	0.103	0.138	1.015	0.383	226	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_227	1.566	0.074	0.228	0.066	2.27	0.836	227	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_228	1.817	0.018	0.072	0.084	0.701	0.949	228	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_229	2.823	0.063	0.197	0.011	1.956	0.496	229	0.05	12000	1000	1	500	111	1	0	1	12	13	1	1
Simulation_230	2.32	0.04	0.133	0.12	2.583	0.722	230	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_231	1.314	0.086	0.261	0.047	1.328	0.27	231	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_232	1.44	0.023	0.086	0.02	1.485	0.213	232	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_233	2.446	0.069	0.214	0.093	2.74	0.666	233	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_234	2.949	0.046	0.15	0.056	2.113	0.439	234	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_235	1.943	0.091	0.275	0.129	0.858	0.892	235	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_236	1.692	0.035	0.119	0.038	1.799	0.779	236	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_237	2.697	0.08	0.244	0.111	0.544	0.326	237	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_238	2.194	0.012	0.056	0.075	1.172	0.553	238	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_239	1.189	0.057	0.181	0.147	2.426	0.1	239	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_240	1.126	0.015	0.064	0.116	2.348	0.355	240	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_241	2.132	0.06	0.189	0.043	1.093	0.807	241	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_242	2.635	0.038	0.128	0.079	1.721	0.128	242	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_243	1.629	0.083	0.253	0.006	2.975	0.581	243	0.05	12000	1000	1	500	111	1	0	1	56	59	3	1
Simulation_244	1.88	0.049	0.158	0.134	1.407	0.694	244	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_245	2.886	0.094	0.283	0.061	2.662	0.241	245	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_246	2.383	0.026	0.094	0.097	2.034	0.92	246	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_247	1.377	0.072	0.222	0.025	0.779	0.468	247	0.05	12000	1000	1	500	111	1	0	1	21	24	3	1
Simulation_248	1.251	0.043	0.142	0.07	0.936	0.524	248	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_249	2.257	0.089	0.269	0.143	2.191	0.977	249	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_250	2.76	0.021	0.081	0.034	2.819	0.298	250	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_251	1.754	0.066	0.206	0.106	1.564	0.751	251	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_252	1.503	0.032	0.111	0.052	2.505	0.638	252	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_253	2.509	0.077	0.236	0.125	1.25	0.185	253	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_254	2.006	0.055	0.175	0.016	0.623	0.864	254	0.05	12000	1000	1	500	111	1	0	1	1	2	1	1
Simulation_255	1	0.1	0.3	0.088	1.877	0.411	255	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_256	1.004	0.055	0.175	0.046	2.588	0.979	256	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_257	2.01	0.1	0.3	0.119	1.333	0.526	257	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_258	2.513	0.032	0.111	0.01	0.706	0.752	258	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1
Simulation_259	1.507	0.077	0.236	0.082	1.961	0.3	259	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_260	1.758	0.021	0.081	0.064	1.02	0.187	260	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_261	2.764	0.066	0.206	0.137	2.275	0.639	261	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_262	2.261	0.043	0.142	0.028	2.902	0.413	262	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_263	1.255	0.089	0.269	0.101	1.647	0.866	263	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_264	1.381	0.026	0.094	0.146	1.176	0.809	264	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_265	2.387	0.072	0.222	0.073	2.431	0.356	265	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_266	2.89	0.049	0.158	0.11	1.804	0.583	266	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_267	1.884	0.094	0.283	0.037	0.549	0.13	267	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_268	1.633	0.038	0.128	0.128	2.118	0.243	268	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_269	2.639	0.083	0.253	0.055	0.863	0.696	269	0.05	12000	1000	1	500	111	1	0	1	2	3	1	1
Simulation_270	2.136	0.015	0.064	0.091	1.49	0.47	270	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_271	1.13	0.06	0.189	0.019	2.745	0.922	271	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_272	1.193	0.012	0.056	0.023	2.039	0.668	272	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_273	2.198	0.058	0.183	0.096	0.784	0.215	273	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_274	2.701	0.035	0.119	0.06	1.412	0.894	274	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_275	1.695	0.08	0.244	0.132	2.667	0.441	275	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_276	1.947	0.046	0.15	0.005	1.725	0.328	276	0.05	12000	1000	1	500	111	1	0	1	163	180	17	0
Simulation_277	2.953	0.092	0.278	0.078	2.98	0.781	277	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_278	2.45	0.024	0.089	0.041	2.353	0.102	278	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_279	1.444	0.069	0.214	0.114	1.098	0.554	279	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_280	1.318	0.041	0.136	0.087	0.627	0.611	280	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_281	2.324	0.086	0.261	0.014	1.882	0.158	281	0.05	12000	1000	1	500	111	1	0	1	22	25	3	1
Simulation_282	2.827	0.018	0.072	0.123	2.51	0.837	282	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_283	1.821	0.063	0.197	0.05	1.255	0.385	283	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_284	1.57	0.029	0.103	0.105	2.824	0.498	284	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_285	2.576	0.075	0.231	0.032	1.569	0.95	285	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1
Simulation_286	2.073	0.052	0.167	0.141	0.941	0.272	286	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_287	1.067	0.097	0.292	0.069	2.196	0.724	287	0.05	12000	1000	1	500	111	1	0	1	19	46	27	0
Simulation_288	1.098	0.031	0.108	0.13	1.451	0.427	288	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_289	2.104	0.076	0.233	0.057	2.706	0.88	289	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_290	2.607	0.053	0.169	0.094	2.078	0.201	290	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_291	1.601	0.099	0.297	0.021	0.824	0.653	291	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1
Simulation_292	1.853	0.042	0.139	0.148	1.765	0.767	292	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_293	2.859	0.087	0.264	0.076	0.51	0.314	293	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_294	2.356	0.019	0.075	0.112	1.137	0.993	294	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_295	1.35	0.065	0.203	0.039	2.392	0.54	295	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_296	1.475	0.048	0.156	0.066	2.863	0.484	296	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_297	2.481	0.093	0.281	0.139	1.608	0.936	297	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_298	2.984	0.025	0.092	0.03	0.98	0.257	298	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_299	1.978	0.07	0.217	0.103	2.235	0.71	299	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_300	1.727	0.014	0.061	0.048	0.667	0.597	300	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_301	2.733	0.059	0.186	0.121	1.922	0.144	301	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_302	2.23	0.036	0.122	0.012	2.549	0.823	302	0.05	12000	1000	1	500	111	1	0	1	8	10	2	1
Simulation_303	1.224	0.082	0.25	0.085	1.294	0.371	303	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_304	1.161	0.034	0.117	0.107	0.902	0.116	304	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_305	2.167	0.079	0.242	0.035	2.157	0.569	305	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_306	2.67	0.011	0.053	0.144	2.784	0.342	306	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_307	1.664	0.056	0.178	0.071	1.529	0.795	307	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_308	1.916	0.022	0.083	0.089	2.471	0.908	308	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_309	2.921	0.067	0.208	0.016	1.216	0.455	309	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1
Simulation_310	2.418	0.045	0.147	0.126	0.588	0.682	310	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_311	1.413	0.09	0.272	0.053	1.843	0.229	311	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_312	1.287	0.017	0.069	0.007	2.314	0.286	312	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_313	2.293	0.062	0.194	0.08	1.059	0.738	313	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_314	2.796	0.039	0.131	0.044	1.686	0.512	314	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_315	1.79	0.084	0.256	0.116	2.941	0.965	315	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_316	1.538	0.05	0.161	0.025	1.373	0.851	316	0.05	12000	1000	1	500	111	1	0	1	23	31	8	1
Simulation_317	2.544	0.096	0.289	0.098	2.627	0.399	317	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_318	2.041	0.028	0.1	0.062	2	0.625	318	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_319	1.035	0.073	0.225	0.135	0.745	0.172	319	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_320	1.051	0.019	0.075	0.081	2.725	0.236	320	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_321	2.057	0.064	0.2	0.008	1.471	0.689	321	0.05	12000	1000	1	500	111	1	0	1	21	21	0	1
Simulation_322	2.56	0.041	0.136	0.118	0.843	0.462	322	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_323	1.554	0.087	0.264	0.045	2.098	0.915	323	0.05	12000	1000	1	500	111	1	0	1	24	26	2	1
Simulation_324	1.806	0.053	0.169	0.099	0.529	0.802	324	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_325	2.811	0.098	0.294	0.027	1.784	0.349	325	0.05	12000	1000	1	500	111	1	0	1	4	5	1	1
Simulation_326	2.308	0.03	0.106	0.136	2.412	0.576	326	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_327	1.303	0.075	0.231	0.063	1.157	0.123	327	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_328	1.428	0.036	0.122	0.036	1.627	0.18	328	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_329	2.434	0.081	0.247	0.108	2.882	0.632	329	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_330	2.937	0.013	0.058	0.072	2.255	0.406	330	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_331	1.931	0.058	0.183	0.145	1	0.859	331	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_332	1.68	0.024	0.089	0.018	1.941	0.972	332	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_333	2.686	0.07	0.217	0.09	0.686	0.519	333	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_334	2.183	0.047	0.153	0.054	1.314	0.745	334	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_335	1.177	0.092	0.278	0.127	2.569	0.293	335	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_336	1.24	0.044	0.144	0.14	2.176	0.547	336	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_337	2.246	0.089	0.269	0.068	0.922	1	337	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_338	2.749	0.021	0.081	0.104	1.549	0.321	338	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_339	1.743	0.067	0.208	0.031	2.804	0.774	339	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_340	1.994	0.01	0.05	0.122	1.235	0.661	340	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_341	3	0.055	0.175	0.049	2.49	0.208	341	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_342	2.497	0.033	0.114	0.086	1.863	0.887	342	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_343	1.491	0.078	0.239	0.013	0.608	0.434	343	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1
Simulation_344	1.365	0.027	0.097	0.058	1.078	0.378	344	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_345	2.371	0.072	0.222	0.131	2.333	0.83	345	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_346	2.874	0.05	0.161	0.022	2.961	0.151	346	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1
Simulation_347	1.868	0.095	0.286	0.095	1.706	0.604	347	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_348	1.617	0.038	0.128	0.077	2.647	0.717	348	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_349	2.623	0.084	0.256	0.149	1.392	0.264	349	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_350	2.12	0.016	0.067	0.04	0.765	0.943	350	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_351	1.114	0.061	0.192	0.113	2.02	0.491	351	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_352	1.083	0.043	0.142	0.015	1.353	0.561	352	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_353	2.088	0.088	0.267	0.088	2.608	0.109	353	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_354	2.591	0.02	0.078	0.052	1.98	0.788	354	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_355	1.585	0.065	0.203	0.124	0.725	0.335	355	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_356	1.837	0.031	0.108	0.033	2.294	0.448	356	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_357	2.843	0.077	0.236	0.106	1.039	0.901	357	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_358	2.34	0.054	0.172	0.07	1.667	0.222	358	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_359	1.334	0.099	0.297	0.143	2.922	0.675	359	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_360	1.46	0.014	0.061	0.097	2.451	0.731	360	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_361	2.466	0.06	0.189	0.024	1.196	0.279	361	0.05	12000	1000	1	500	111	1	0	1	16	18	2	1
Simulation_362	2.969	0.037	0.125	0.134	0.569	0.958	362	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_363	1.963	0.082	0.25	0.061	1.824	0.505	363	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_364	1.711	0.048	0.156	0.079	0.882	0.392	364	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_365	2.717	0.094	0.283	0.006	2.137	0.844	365	0.05	12000	1000	1	500	111	1	0	1	3	4	1	1
Simulation_366	2.214	0.026	0.094	0.115	2.765	0.165	366	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_367	1.208	0.071	0.219	0.043	1.51	0.618	367	0.05	12000	1000	1	500	111	1	0	1	1206	1419	213	1
Simulation_368	1.145	0.023	0.086	0.074	0.804	0.873	368	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_369	2.151	0.068	0.211	0.147	2.059	0.42	369	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_370	2.654	0.046	0.15	0.038	2.686	0.646	370	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_371	1.648	0.091	0.275	0.111	1.431	0.194	371	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_372	1.9	0.034	0.117	0.056	3	0.307	372	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_373	2.906	0.079	0.242	0.129	1.745	0.76	373	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_374	2.403	0.012	0.056	0.02	1.118	0.533	374	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_375	1.397	0.057	0.181	0.093	2.373	0.986	375	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_376	1.271	0.051	0.164	0.12	1.902	0.929	376	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_377	2.277	0.096	0.289	0.047	0.647	0.477	377	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1
Simulation_378	2.78	0.029	0.103	0.083	1.275	0.703	378	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_379	1.774	0.074	0.228	0.011	2.529	0.25	379	0.05	12000	1000	1	500	111	1	0	1	83	99	16	1
Simulation_380	1.523	0.017	0.069	0.138	1.588	0.137	380	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_381	2.528	0.063	0.197	0.065	2.843	0.59	381	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_382	2.026	0.04	0.133	0.102	2.216	0.363	382	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_383	1.02	0.085	0.258	0.029	0.961	0.816	383	0.05	12000	1000	1	500	111	1	0	1	34	39	5	1
Simulation_384	1.012	0.025	0.092	0.11	2.088	0.615	384	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_385	2.018	0.07	0.217	0.037	0.833	0.162	385	0.05	12000	1000	1	500	111	1	0	1	4	9	5	1
Simulation_386	2.521	0.047	0.153	0.147	1.461	0.841	386	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_387	1.515	0.093	0.281	0.074	2.716	0.388	387	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_388	1.766	0.036	0.122	0.092	1.147	0.501	388	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_389	2.772	0.081	0.247	0.019	2.402	0.954	389	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1
Simulation_390	2.269	0.013	0.058	0.128	1.775	0.275	390	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_391	1.263	0.059	0.186	0.056	0.52	0.728	391	0.05	12000	1000	1	500	111	1	0	1	0	2	2	0
Simulation_392	1.389	0.053	0.169	0.01	0.99	0.671	392	0.05	12000	1000	1	500	111	1	0	1	76	90	14	1
Simulation_393	2.395	0.098	0.294	0.083	2.245	0.218	393	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_394	2.898	0.03	0.106	0.047	2.873	0.897	394	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_395	1.892	0.076	0.233	0.119	1.618	0.445	395	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_396	1.64	0.019	0.075	0.028	2.559	0.332	396	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_397	2.646	0.064	0.2	0.101	1.304	0.784	397	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_398	2.143	0.042	0.139	0.065	0.676	0.105	398	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_399	1.138	0.087	0.264	0.137	1.931	0.558	399	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_400	1.2	0.039	0.131	0.124	2.794	0.813	400	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_401	2.206	0.084	0.256	0.051	1.539	0.36	401	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_402	2.709	0.016	0.067	0.087	0.912	0.586	402	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_403	1.703	0.061	0.192	0.015	2.167	0.134	403	0.05	12000	1000	1	500	111	1	0	1	117	154	37	1
Simulation_404	1.955	0.028	0.1	0.142	0.598	0.247	404	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_405	2.961	0.073	0.225	0.069	1.853	0.699	405	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_406	2.458	0.05	0.161	0.106	2.48	0.473	406	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_407	1.452	0.095	0.286	0.033	1.225	0.926	407	0.05	12000	1000	1	500	111	1	0	1	6	7	1	1
Simulation_408	1.326	0.011	0.053	0.06	1.696	0.982	408	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_409	2.332	0.056	0.178	0.133	2.951	0.53	409	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_410	2.835	0.033	0.114	0.024	2.324	0.756	410	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_411	1.829	0.078	0.239	0.097	1.069	0.303	411	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_412	1.578	0.044	0.144	0.042	2.01	0.19	412	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_413	2.583	0.09	0.272	0.115	0.755	0.643	413	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_414	2.081	0.022	0.083	0.006	1.382	0.417	414	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_415	1.075	0.067	0.208	0.078	2.637	0.869	415	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_416	1.106	0.049	0.158	0.031	0.716	0.289	416	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_417	2.112	0.094	0.283	0.103	1.971	0.742	417	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_418	2.615	0.026	0.094	0.067	2.598	0.516	418	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_419	1.609	0.071	0.219	0.14	1.343	0.968	419	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_420	1.861	0.015	0.064	0.012	2.912	0.855	420	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_421	2.866	0.06	0.189	0.085	1.657	0.402	421	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_422	2.363	0.037	0.125	0.049	1.029	0.629	422	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_423	1.358	0.083	0.253	0.122	2.284	0.176	423	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_424	1.483	0.032	0.111	0.094	1.814	0.119	424	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_425	2.489	0.077	0.236	0.021	0.559	0.572	425	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1
Simulation_426	2.992	0.054	0.172	0.131	1.186	0.346	426	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_427	1.986	0.1	0.3	0.058	2.441	0.798	427	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_428	1.735	0.043	0.142	0.112	1.5	0.912	428	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_429	2.741	0.088	0.267	0.04	2.755	0.459	429	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_430	2.238	0.02	0.078	0.149	2.127	0.685	430	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_431	1.232	0.066	0.206	0.076	0.873	0.233	431	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_432	1.169	0.018	0.072	0.044	1.422	0.487	432	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
