Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_123	1.762	0.081	0.026	1.142	0.19	123	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7302.23876850186	5
Simulation_124	1.511	0.047	0.117	2.083	0.755	124	0.05	12000	1000	1	500	111	1	0	1	736	749	13	1	0.647024504084014	20	4931.75392782851	3
Simulation_125	2.517	0.092	0.045	0.828	0.303	125	0.05	12000	1000	1	500	111	1	0	1	91	91	0	0	-1	-1	4397.4732269091	4
Simulation_126	2.014	0.024	0.008	2.711	0.529	126	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5419.93993469031	4
Simulation_127	1.008	0.07	0.081	1.456	0.981	127	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7169.19158227892	5
Simulation_128	1.016	0.04	0.119	2.858	0.518	128	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7390.18142640645	5
Simulation_129	2.022	0.085	0.046	1.603	0.97	129	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7143.49251466851	4
Simulation_130	2.525	0.017	0.01	2.23	0.744	130	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4511.42728480223	4
Simulation_131	1.519	0.062	0.083	0.975	0.292	131	0.05	12000	1000	1	500	111	1	0	1	1100	1134	34	1	0.686114352392065	20	4958.06767847224	2
Simulation_132	1.77	0.028	0.064	2.544	0.631	132	0.05	12000	1000	1	500	111	0	80	1	2434	2456	22	1	0.00175029171528588	22	3980.99331143716	2
Simulation_133	2.776	0.074	0.137	1.289	0.179	133	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6128.69669800444	4
Simulation_134	2.273	0.051	0.101	1.917	0.405	134	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4891.43499578229	4
Simulation_135	1.267	0.096	0.028	0.662	0.857	135	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5721.54352324366	4
Simulation_136	1.393	0.011	0.092	1.132	0.914	136	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6538.9493587497	4
Simulation_137	2.399	0.057	0.019	2.387	0.462	137	0.05	12000	1000	1	500	111	1	0	1	5	5	0	0	-1	-1	3729.94618371533	2
Simulation_138	2.902	0.034	0.055	0.505	0.236	138	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5784.29877165774	4
Simulation_139	1.896	0.079	0.128	1.76	0.688	139	0.05	12000	1000	1	500	111	1	0	1	193	200	7	1	0.816219369894982	12	2951.93691160181	3
Simulation_140	1.644	0.045	0.037	1.446	0.123	140	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6902.27436359098	4
Simulation_141	2.65	0.091	0.11	2.701	0.575	141	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5584.94781851817	2
Simulation_142	2.147	0.023	0.146	0.819	0.801	142	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5331.51212154335	4
Simulation_143	1.141	0.068	0.074	2.074	0.349	143	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6142.10225292981	4
Simulation_144	1.204	0.026	0.014	1.995	0.321	144	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4939.6021005998	2
Simulation_145	2.21	0.071	0.087	0.74	0.772	145	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6398.79342070168	4
Simulation_146	2.713	0.048	0.124	2.623	0.998	146	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	7897.81802442523	4
Simulation_147	1.707	0.093	0.051	1.368	0.546	147	0.05	12000	1000	1	500	111	1	0	1	641	643	2	0	-1	-1	8760.74466448168	4
Simulation_148	1.959	0.037	0.105	2.309	0.885	148	0.05	12000	1000	1	500	111	1	0	1	29	31	2	1	0.557176196032672	2	2844.46299406568	2
Simulation_149	2.965	0.082	0.033	1.054	0.434	149	0.05	12000	1000	1	500	111	1	0	1	102	103	1	0	-1	-1	7887.90225695683	4
Simulation_150	2.462	0.014	0.069	2.936	0.208	150	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4704.69335949986	3
Simulation_151	1.456	0.06	0.142	1.681	0.659	151	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6630.54046851625	4
Simulation_152	1.33	0.054	0.042	0.897	0.716	152	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5722.20555043624	4
Simulation_153	2.336	0.099	0.114	2.152	0.264	153	0.05	12000	1000	1	500	111	1	0	1	26	26	0	1	0.784130688448075	26	4594.70812480062	2
Simulation_154	2.839	0.031	0.078	1.525	0.49	154	0.05	12000	1000	1	500	111	1	0	1	290	291	1	1	0.614935822637106	117	1593.8517988332	1
Simulation_155	1.833	0.076	0.005	2.779	0.942	155	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6715.46636153806	4
Simulation_156	1.582	0.02	0.133	0.583	0.377	156	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	3651.6495545647	3
Simulation_157	2.587	0.065	0.06	1.838	0.829	157	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6222.85983583167	4
Simulation_158	2.084	0.043	0.023	1.211	0.603	158	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4945.25139713016	4
Simulation_159	1.079	0.088	0.096	2.466	0.151	159	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	4027.90217514412	2
Simulation_160	1.11	0.016	0.053	1.485	0.786	160	0.05	12000	1000	1	500	111	0	92	1	2990	3205	215	1	0.474912485414236	18	4078.54548970024	4
Simulation_161	2.116	0.061	0.126	2.74	0.335	161	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5021.62989312868	4
Simulation_162	2.619	0.038	0.089	0.858	0.109	162	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7756.40543845935	5
Simulation_163	1.613	0.084	0.017	2.113	0.561	163	0.05	12000	1000	1	500	111	1	0	1	451	454	3	1	0.725204200700117	4	3550.64573762718	2
Simulation_164	1.864	0.05	0.144	1.172	0.222	164	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7101.91628080227	4
Simulation_165	2.87	0.095	0.071	2.426	0.674	165	0.05	12000	1000	1	500	111	1	0	1	53	54	1	0	-1	-1	3593.66769854493	3
Simulation_166	2.367	0.027	0.035	0.544	0.899	166	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6001.30035033416	4
Simulation_167	1.361	0.072	0.108	1.799	0.448	167	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6409.71588185469	4
Simulation_168	1.487	0.033	0.008	2.583	0.391	168	0.05	12000	1000	1	500	111	0	60	1	1235	1236	1	1	0.624854142357059	74	4947.57448476568	2
Simulation_169	2.493	0.078	0.08	1.328	0.843	169	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	8255.09879701382	5
Simulation_170	2.996	0.01	0.117	1.956	0.617	170	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5483.78593256906	4
Simulation_171	1.99	0.055	0.044	0.701	0.165	171	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6728.89487634115	4
Simulation_172	1.739	0.021	0.099	2.897	0.73	172	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6001.45683811936	4
Simulation_173	2.745	0.067	0.026	1.642	0.278	173	0.05	12000	1000	1	500	111	1	0	1	85	86	1	0	-1	-1	7725.94177177867	4
Simulation_174	2.242	0.044	0.062	2.27	0.504	174	0.05	12000	1000	1	500	111	1	0	1	534	535	1	1	0.0134189031505251	7	2579.66459828706	2
Simulation_175	1.236	0.089	0.135	1.015	0.956	175	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6924.53524053084	4
