Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_389	2.772	0.081	0.049	0.745	0.785	389	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_390	2.269	0.013	0.013	2.627	0.559	390	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_391	1.263	0.059	0.086	1.373	0.107	391	0.05	12000	1000	1	500	111	1	0	1	15	15	0	1	0.183712728438602	15
Simulation_392	1.389	0.053	0.04	0.588	0.276	392	0.05	12000	1000	1	500	111	1	0	1	26	26	0	1	0.704713049054184	22
Simulation_393	2.395	0.098	0.113	1.843	0.728	393	0.05	12000	1000	1	500	111	1	0	1	89	90	1	1	0.610772683552421	59
Simulation_394	2.898	0.03	0.149	1.216	0.954	394	0.05	12000	1000	1	500	111	1	0	1	44	44	0	1	0.110291760179545	17
Simulation_395	1.892	0.076	0.077	2.471	0.502	395	0.05	12000	1000	1	500	111	0	97	1	1727	1727	0	1	0.169285027252324	526
Simulation_396	1.64	0.019	0.095	0.902	0.841	396	0.05	12000	1000	1	500	111	1	0	1	3	5	2	1	0.0166720102596986	-1
Simulation_397	2.646	0.064	0.022	2.157	0.389	397	0.05	12000	1000	1	500	111	1	0	1	59	59	0	1	0.194934273805707	23
Simulation_398	2.143	0.042	0.058	1.529	0.164	398	0.05	12000	1000	1	500	111	1	0	1	50	50	0	1	0.188521962167361	43
Simulation_399	1.138	0.087	0.131	2.784	0.615	399	0.05	12000	1000	1	500	111	0	112	1	1400	1401	1	1	0.153574863738378	439
Simulation_400	1.2	0.039	0.108	2.549	0.926	400	0.05	12000	1000	1	500	111	1	0	1	1357	1361	4	1	0.978839371593459	1310
Simulation_401	2.206	0.084	0.036	1.294	0.474	401	0.05	12000	1000	1	500	111	1	0	1	513	513	0	1	0.13209361974992	280
Simulation_402	2.709	0.016	0.072	1.922	0.248	402	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_403	1.703	0.061	0.145	0.667	0.7	403	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_404	1.955	0.028	0.018	2.863	0.135	404	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1
Simulation_405	2.961	0.073	0.09	1.608	0.587	405	0.05	12000	1000	1	500	111	1	0	1	18	18	0	1	0.296569413273485	8
Simulation_406	2.458	0.05	0.127	2.235	0.813	406	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.347226675216416	3
Simulation_407	1.452	0.095	0.054	0.98	0.361	407	0.05	12000	1000	1	500	111	0	73	1	1231	1231	0	1	0.878166078871433	538
Simulation_408	1.326	0.011	0.136	1.451	0.531	408	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_409	2.332	0.056	0.063	2.706	0.982	409	0.05	12000	1000	1	500	111	1	0	1	31	31	0	1	0.747034305867265	22
Simulation_410	2.835	0.033	0.027	0.824	0.756	410	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.295607566527733	7
Simulation_411	1.829	0.078	0.099	2.078	0.305	411	0.05	12000	1000	1	500	111	1	0	1	921	921	0	1	0.116062840654056	334
Simulation_412	1.578	0.044	0.045	1.137	0.644	412	0.05	12000	1000	1	500	111	1	0	1	82	83	1	1	0.895479320294966	82
Simulation_413	2.583	0.09	0.118	2.392	0.192	413	0.05	12000	1000	1	500	111	1	0	1	25	25	0	1	0.128887463930747	16
Simulation_414	2.081	0.022	0.081	0.51	0.418	414	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_415	1.075	0.067	0.008	1.765	0.869	415	0.05	12000	1000	1	500	111	0	138	1	1706	1708	2	1	0.537031099711446	413
Simulation_416	1.106	0.049	0.143	0.941	0.178	416	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_417	2.112	0.094	0.07	2.196	0.629	417	0.05	12000	1000	1	500	111	1	0	1	168	168	0	1	0.140750240461686	99
Simulation_418	2.615	0.026	0.033	1.569	0.855	418	0.05	12000	1000	1	500	111	1	0	1	31	31	0	1	0.680666880410388	31
Simulation_419	1.609	0.071	0.106	2.824	0.404	419	0.05	12000	1000	1	500	111	1	0	1	214	214	0	1	0.190766271240782	88
Simulation_420	1.861	0.015	0.052	0.627	0.968	420	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.129849310676499	2
Simulation_421	2.866	0.06	0.124	1.882	0.516	421	0.05	12000	1000	1	500	111	1	0	1	13	13	0	1	0.141070856043604	10
Simulation_422	2.363	0.037	0.088	1.255	0.291	422	0.05	12000	1000	1	500	111	1	0	1	31	32	1	1	0.165758255851234	19
Simulation_423	1.358	0.083	0.015	2.51	0.742	423	0.05	12000	1000	1	500	111	0	86	1	1377	1377	0	1	0.739660147483168	445
Simulation_424	1.483	0.032	0.097	2.039	0.573	424	0.05	12000	1000	1	500	111	1	0	1	649	655	6	1	0.331837127284386	252
Simulation_425	2.489	0.077	0.024	0.784	0.121	425	0.05	12000	1000	1	500	111	1	0	1	128	128	0	1	0.314523885860853	61
Simulation_426	2.992	0.054	0.061	2.667	0.347	426	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.129528695094582	3
